trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.text,textbox.started,actual_dots,participant,session,date,frameRate,
0,0,0,0,1,34.220278799999505,1,,001,2021_Jul_10_0203,59.92728423076054,
1,0,1,0,2,38.05323669995414,2,,001,2021_Jul_10_0203,59.92728423076054,
2,0,2,0,4,41.57103099999949,4,,001,2021_Jul_10_0203,59.92728423076054,
3,0,3,0,8,48.87986079999246,8,,001,2021_Jul_10_0203,59.92728423076054,
4,0,4,0,13,56.43814659997588,16,,001,2021_Jul_10_0203,59.92728423076054,
5,0,5,0,8,64.25413189997198,8,,001,2021_Jul_10_0203,59.92728423076054,
6,0,6,0,16,69.19222089997493,16,,001,2021_Jul_10_0203,59.92728423076054,
7,0,7,0,32,75.40689199999906,32,,001,2021_Jul_10_0203,59.92728423076054,
