trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.text,textbox.started,actual_dots,participant,session,date,frameRate,
0,0,0,0,1,49.60322799999267,1,,001,2021_Jul_10_0156,59.64626185922056,
1,0,1,0,2,55.02507999999216,2,,001,2021_Jul_10_0156,59.64626185922056,
2,0,2,0,4,58.35277190001216,4,,001,2021_Jul_10_0156,59.64626185922056,
3,0,3,0,8,62.2857701999601,8,,001,2021_Jul_10_0156,59.64626185922056,
4,0,4,0,14,66.07255059998715,16,,001,2021_Jul_10_0156,59.64626185922056,
5,0,5,0,8,74.57463459996507,8,,001,2021_Jul_10_0156,59.64626185922056,
6,0,6,0,16,78.57264590001432,16,,001,2021_Jul_10_0156,59.64626185922056,
